

Sequential Pattern Mining:
[Trajectory]          [Support]


([Foro Romano, Pantheon, Pantheon], 0.022)
([Foro Romano, Colosseo, Castel Sant'Angelo], 0.022)
([Foro Romano, Foro Romano, Piazza di Spagna], 0.022)
([Campidoglio, Foro Romano, Campidoglio], 0.022)
([Piazza Venezia, Piazza Venezia, Colosseo], 0.022)
([Piazza Venezia, Colosseo, Pantheon], 0.022)
([Piazza Venezia, Fontana di Trevi, Pantheon], 0.022)
([Piazza Venezia, Fontana di Trevi, Colosseo], 0.022)
([Piazza Navona, Colosseo, Piazza Navona], 0.022)
([Piazza Navona, San Pietro, Castel Sant'Angelo], 0.022)
([San Pietro, San Pietro, Colosseo, Foro Romano], 0.0211)
([San Pietro, San Pietro, San Pietro, San Pietro], 0.0211)
([San Pietro, San Pietro, Piazza Venezia], 0.0211)
([San Pietro, Colosseo, Colosseo, Colosseo], 0.0211)
([San Pietro, Colosseo, Colosseo, Foro Romano], 0.0211)
([San Pietro, Colosseo, Foro Romano, San Pietro], 0.0211)
([San Pietro, Piazza di Spagna, San Pietro], 0.0211)
([San Pietro, Piazza di Spagna, Fontana di Trevi], 0.0211)
([Musei Vaticani, Piazza Navona, Pantheon], 0.0211)
([Musei Vaticani, Colosseo, Colosseo], 0.0211)
([Colosseo, Foro Romano, San Pietro, San Pietro], 0.0211)
([Colosseo, Foro Romano, Colosseo, Foro Romano, San Pietro], 0.0211)
([Colosseo, Foro Romano, Colosseo, Pantheon], 0.0211)
([Colosseo, Foro Romano, Foro Romano, Foro Romano], 0.0211)
([Colosseo, Fontana di Trevi, Musei Vaticani], 0.0211)
([Pantheon, Pantheon, Fontana di Trevi], 0.0211)
([Pantheon, Piazza di Spagna, Colosseo], 0.0211)
([Fontana di Trevi, Pantheon, Foro Romano], 0.0211)
([Fontana di Trevi, San Pietro, Pantheon], 0.0211)
([Castel Sant'Angelo, San Pietro, Musei Vaticani], 0.0211)
([Foro Romano, Fontana di Trevi, Colosseo], 0.0211)
([Foro Romano, Pantheon, Musei Vaticani], 0.0211)
([Foro Romano, Piazza Venezia, Foro Romano], 0.0211)
([Foro Romano, Colosseo, Foro Romano, Pantheon], 0.0211)
([Foro Romano, Foro Romano, Piazza Venezia], 0.0211)
([Piazza Venezia, Colosseo, Colosseo, Colosseo], 0.0211)
([Piazza Venezia, Pantheon, San Pietro], 0.0211)
([Piazza Venezia, Foro Romano, Colosseo, Foro Romano], 0.0211)
([Piazza Navona, Foro Romano, Pantheon], 0.0211)
([San Pietro, Musei Vaticani, San Pietro, Musei Vaticani], 0.0203)
([San Pietro, San Pietro, Foro Romano, Colosseo], 0.0203)
([San Pietro, Colosseo, San Pietro, San Pietro], 0.0203)
([San Pietro, Colosseo, Fontana di Trevi, San Pietro], 0.0203)
([San Pietro, Colosseo, Foro Romano, Foro Romano], 0.0203)
([San Pietro, Piazza Navona, Piazza Venezia], 0.0203)
([San Pietro, Foro Romano, Castel Sant'Angelo], 0.0203)
([San Pietro, Foro Romano, Colosseo, Colosseo], 0.0203)
([San Pietro, Piazza Venezia, Fontana di Trevi], 0.0203)
([Musei Vaticani, Colosseo, San Pietro], 0.0203)
([Colosseo, Pantheon, Fontana di Trevi, San Pietro], 0.0203)
([Colosseo, Colosseo, Foro Romano, Colosseo, Foro Romano], 0.0203)
([Colosseo, Foro Romano, Pantheon, San Pietro], 0.0203)
([Colosseo, Foro Romano, Colosseo, Musei Vaticani], 0.0203)
([Colosseo, Foro Romano, Colosseo, Piazza Venezia], 0.0203)
([Colosseo, Foro Romano, Foro Romano, Fontana di Trevi], 0.0203)
([Colosseo, Piazza di Spagna, Fontana di Trevi], 0.0203)
([Colosseo, Piazza Navona, Castel Sant'Angelo], 0.0203)
([Colosseo, Castel Sant'Angelo, Pantheon], 0.0203)
([Colosseo, Arco Costantino, Colosseo], 0.0203)
([Piazza di Spagna, Pantheon, Piazza Navona], 0.0203)
([Piazza di Spagna, Fontana di Trevi, Piazza Venezia], 0.0203)
([Piazza di Spagna, Musei Vaticani, San Pietro], 0.0203)
([Piazza di Spagna, Castel Sant'Angelo, San Pietro], 0.0203)
([Pantheon, Pantheon, Piazza Navona], 0.0203)
([Pantheon, Colosseo, Colosseo, San Pietro], 0.0203)
([Pantheon, Foro Romano, Colosseo, Foro Romano], 0.0203)
([Pantheon, Piazza di Spagna, Fontana di Trevi], 0.0203)
([Fontana di Trevi, Pantheon, Fontana di Trevi], 0.0203)
([Fontana di Trevi, Colosseo, Fontana di Trevi], 0.0203)
([Fontana di Trevi, Piazza di Spagna, San Pietro], 0.0203)
([Castel Sant'Angelo, Colosseo, Castel Sant'Angelo], 0.0203)
([Castel Sant'Angelo, Pantheon, Piazza di Spagna], 0.0203)
([Castel Sant'Angelo, Piazza Navona, Piazza Venezia], 0.0203)
([Foro Romano, Fontana di Trevi, Foro Romano], 0.0203)
([Foro Romano, San Pietro, Fontana di Trevi], 0.0203)
([Foro Romano, Foro Romano, Colosseo, Foro Romano, Colosseo], 0.0203)
([Piazza Venezia, Pantheon, Fontana di Trevi], 0.0203)
([Piazza Navona, Fontana di Trevi, Piazza Venezia], 0.0203)
([San Pietro, Musei Vaticani, Piazza di Spagna], 0.0194)
([San Pietro, Musei Vaticani, Castel Sant'Angelo], 0.0194)
([San Pietro, San Pietro, San Pietro, Colosseo], 0.0194)
([San Pietro, Castel Sant'Angelo, Foro Romano, Colosseo], 0.0194)
([San Pietro, Piazza del Popolo, San Pietro], 0.0194)
([San Pietro, Foro Romano, Piazza Venezia], 0.0194)
([San Pietro, Foro Romano, Colosseo, Fontana di Trevi], 0.0194)
([San Pietro, Foro Romano, Foro Romano, Colosseo], 0.0194)
([San Pietro, Campidoglio, Pantheon], 0.0194)
([Colosseo, Foro Romano, Piazza del Popolo], 0.0194)
([Colosseo, Foro Romano, Colosseo, Foro Romano, Foro Romano], 0.0194)
([Colosseo, Foro Romano, Colosseo, Colosseo, Foro Romano], 0.0194)
([Colosseo, Campidoglio, Colosseo], 0.0194)
([Colosseo, Piazza Venezia, Piazza di Spagna], 0.0194)
([Piazza del Popolo, Pantheon, Colosseo], 0.0194)
([Piazza di Spagna, San Pietro, Castel Sant'Angelo], 0.0194)
([Piazza di Spagna, Foro Romano, Foro Romano], 0.0194)
([Pantheon, Colosseo, Colosseo, Foro Romano], 0.0194)
([Pantheon, Castel Sant'Angelo, Colosseo], 0.0194)
([Fontana di Trevi, Pantheon, Piazza Venezia], 0.0194)
([Fontana di Trevi, Piazza di Spagna, Fontana di Trevi], 0.0194)
([Fontana di Trevi, Foro Romano, Colosseo, Foro Romano], 0.0194)
([Fontana di Trevi, Castel Sant'Angelo, San Pietro], 0.0194)
([Castel Sant'Angelo, San Pietro, Piazza Navona], 0.0194)
([Castel Sant'Angelo, Piazza Navona, San Pietro], 0.0194)
([Foro Romano, Fontana di Trevi, Pantheon], 0.0194)
([Foro Romano, San Pietro, Castel Sant'Angelo], 0.0194)
([Foro Romano, Pantheon, Piazza di Spagna], 0.0194)
([Foro Romano, Piazza Venezia, San Pietro], 0.0194)
([Foro Romano, Castel Sant'Angelo, San Pietro], 0.0194)
([Foro Romano, Colosseo, Musei Vaticani, San Pietro], 0.0194)
([Foro Romano, Colosseo, Foro Romano, Colosseo, San Pietro], 0.0194)
([Foro Romano, Foro Romano, Colosseo, San Pietro], 0.0194)
([Foro Romano, Foro Romano, Musei Vaticani], 0.0194)
([Campidoglio, Foro Romano, Foro Romano], 0.0194)
([Piazza Venezia, San Pietro, Castel Sant'Angelo], 0.0194)
([Piazza Venezia, San Pietro, San Pietro], 0.0194)
([Piazza Venezia, Fontana di Trevi, Piazza di Spagna], 0.0194)
([Piazza Navona, Pantheon, Castel Sant'Angelo], 0.0194)
([Piazza Navona, Fontana di Trevi, San Pietro], 0.0194)
